,control1,lps1,control2,lps2,control3,lps3
LOC102723369,0,0,0,0,1,0
LOC102723370,21,1,40,5,34,6
LOC102723371,0,0,0,0,0,0
LOC102723372,2,0,3,0,2,3
LOC102723373,0,0,0,0,1,1
LOC102723374,0,1,0,1,4,1
LOC102723375,118,90,80,222,41,43
LOC102723376,0,0,0,0,0,0
LOC102723377,0,0,0,0,0,0
LOC102723378,0,0,0,0,0,0
LOC102723379,0,0,0,0,0,0
LOC102723380,0,0,0,0,0,0
LOC102723381,0,1,0,1,0,1
LOC102723382,0,2,2,0,0,2
LOC102723383,0,0,0,0,0,0
LOC102723384,0,0,0,0,1,0
LOC102723385,2,0,0,0,0,0
LOC102723386,0,0,0,1,0,0
LOC102723388,1,0,0,0,0,0
LOC102723389,0,0,0,0,0,0
LOC102723390,14,21,208,281,1,5
LOC102723391,0,0,0,0,0,0
LOC102723392,0,0,0,0,0,0
LOC102723393,0,0,0,0,0,0
LOC102723394,0,0,0,0,0,0
LOC102723395,0,0,0,0,0,0
LOC102723396,0,0,0,0,0,0
LOC102723397,0,0,0,0,0,0
LOC102723398,11,3,6,1,12,5
LOC102723399,0,0,0,0,0,0
LOC102723401,0,0,0,0,0,0
LOC102723402,1,0,0,0,0,0
LOC102723403,0,0,0,0,0,0
LOC102723404,0,0,0,0,0,0
LOC102723405,111,36,57,28,75,29
LOC102723406,0,0,0,0,0,0
LOC102723407,0,0,0,1,0,0
LOC102723408,3,3,19,16,1,0
LOC102723409,6,9,9,7,7,7
LOC102723410,2,3,0,0,3,2
LOC102723411,4,4,8,3,5,6
LOC102723412,0,0,0,0,0,0
LOC102723413,1,0,1,0,0,0
LOC102723414,0,0,0,0,0,0
LOC102723415,1,2,3,0,3,0
LOC102723417,0,0,0,0,0,0
LOC102723418,0,0,0,0,0,0
LOC102723419,23,10,12,12,21,14
LOC102723420,0,1,4,3,5,2
LOC102723421,0,0,0,1,1,0
LOC102723422,11,11,6,3,6,3
LOC102723423,0,0,0,0,0,0
LOC102723425,1,0,2,0,2,0
LOC102723426,0,0,0,0,0,0
LOC102723427,0,0,0,0,0,0
LOC102723428,83,40,49,19,122,30
LOC102723429,166,43,94,10,399,154
LOC102723430,0,0,0,0,0,0
LOC102723431,0,0,0,0,0,0
LOC102723433,0,1,0,0,0,0
LOC102723434,0,0,0,0,0,0
LOC102723435,0,0,2,0,2,0
LOC102723436,0,0,0,0,0,0
LOC102723437,0,0,8,5,0,0
LOC102723439,0,0,0,0,0,0
LOC102723440,2,0,4,0,1,0
LOC102723441,0,0,0,0,0,0
LOC102723442,0,0,0,0,1,1
LOC102723443,0,0,0,0,0,0
LOC102723444,2,4,10,10,7,6
LOC102723445,0,0,2,0,0,0
LOC102723446,3,1,3,1,2,3
LOC102723447,0,0,1,0,0,1
LOC102723448,0,0,0,0,0,0
LOC102723449,0,0,0,0,0,0
LOC102723450,1,1,0,0,2,0
LOC102723451,0,0,0,0,0,0
LOC102723452,1,1,0,0,0,0
LOC102723453,1,18,0,1,2,29
LOC102723454,0,0,0,0,0,0
LOC102723455,3,6,0,3,3,8
LOC102723456,0,0,0,0,0,0
LOC102723457,2,2,8,8,2,0
LOC102723458,6,38,7,63,3,35
LOC102723459,0,0,0,0,0,0
LOC102723460,0,0,0,0,0,0
LOC102723461,2,1,0,2,3,1
LOC102723463,39,11,53,22,108,31
LOC102723464,4,8,0,3,0,1
LOC102723465,25,19,12,16,17,17
LOC102723466,1,0,0,0,0,0
LOC102723467,0,0,4,3,0,0
LOC102723468,1,1,2,0,0,0
LOC102723469,0,0,1,2,1,0
LOC102723470,0,0,0,0,0,0
LOC102723471,0,0,0,0,1,0
LOC102723472,0,0,0,0,0,0
LOC102723473,9,0,27,2,4,0
LOC102723474,0,0,0,0,0,0
LOC102723475,28,15,18,20,18,21
LOC102723476,6,8,3,9,7,23
LOC102723477,0,0,1,0,0,0
LOC102723479,0,0,0,0,0,0
LOC102723480,3,0,7,6,4,2
LOC102723481,2,0,2,1,1,0
LOC102723482,0,0,0,0,0,0
LOC102723483,8,4,7,2,7,5
LOC102723484,0,0,1,0,2,0
LOC102723485,0,1,0,8,2,1
LOC102723486,1,0,0,0,2,0
LOC102723487,0,0,0,0,0,0
LOC102723488,4,2,4,4,6,1
LOC102723489,11,3,3,6,3,2
LOC102723490,0,0,0,0,0,0
LOC102723491,0,0,0,0,0,0
LOC102723492,0,0,0,0,0,0
LOC102723493,0,0,0,0,0,1
LOC102723494,0,0,0,0,0,0
LOC102723495,0,0,0,0,0,0
LOC102723496,1,0,1,0,1,1
LOC102723497,0,0,0,0,0,0
LOC102723499,0,0,0,0,0,0
LOC102723500,0,0,0,1,0,0
LOC102723501,2,0,1,2,0,0
LOC102723502,0,0,0,0,0,0
LOC102723503,0,0,0,0,0,0
LOC102723505,0,0,0,0,0,0
LOC102723506,12,2,6,3,5,6
LOC102723507,2,12,0,5,2,4
LOC102723508,11,7,6,4,9,2
LOC102723510,20,21,31,33,9,19
LOC102723511,0,0,2,0,0,0
LOC102723512,0,0,1,0,1,0
LOC102723513,0,0,0,1,0,0
LOC102723514,0,0,0,0,0,0
LOC102723515,0,0,0,1,0,0
LOC102723516,0,0,0,0,0,0
LOC102723517,0,0,0,0,0,0
LOC102723518,0,0,0,0,0,0
LOC102723520,2,1,0,1,1,0
LOC102723521,2578,1206,2178,614,2910,889
LOC102723522,3,3,2,1,6,2
LOC102723523,0,0,0,0,0,0
LOC102723524,0,0,0,0,0,0
LOC102723525,0,0,0,0,0,0
LOC102723526,0,0,0,0,0,0
LOC102723527,0,0,0,0,0,0
LOC102723529,0,0,0,0,0,0
LOC102723530,0,2,1,2,0,3
LOC102723532,0,0,0,0,0,0
LOC102723533,0,0,0,0,0,1
LOC102723534,1,0,1,0,0,0
LOC102723535,1,13,9,7,8,15
LOC102723536,0,0,0,0,0,0
LOC102723537,0,0,0,0,0,0
LOC102723538,0,0,0,0,0,0
LOC102723539,34,22,7,27,11,13
LOC102723540,2,0,0,1,4,3
LOC102723541,0,0,0,0,0,0
LOC102723542,1,0,0,0,0,0
LOC102723543,17,10,34,13,6,10
LOC102723544,0,0,0,0,0,1
LOC102723545,10,6,13,7,14,3
LOC102723546,0,0,0,0,0,0
LOC102723547,0,0,0,5,0,0
LOC102723548,0,0,2,0,0,0
LOC102723549,0,0,0,0,0,0
LOC102723550,0,0,0,0,0,0
LOC102723551,0,0,0,0,0,0
LOC102723552,0,0,0,0,0,0
LOC102723553,3,5,6,4,9,4
LOC102723554,1,4,4,5,1,3
LOC102723555,8,10,7,11,4,2
LOC102723557,0,0,0,1,0,1
LOC102723558,0,0,1,0,0,0
LOC102723559,5,0,0,2,3,0
LOC102723560,0,0,0,0,0,0
LOC102723561,0,0,0,0,0,0
LOC102723562,0,0,1,0,0,0
LOC102723563,0,0,3,1,1,0
LOC102723564,236,184,68,64,203,173
LOC102723565,4,10,4,8,9,15
LOC102723566,488,363,206,184,560,391
LOC102723567,0,0,0,0,0,0
LOC102723568,0,0,18,7,0,0
LOC102723569,32,5,18,2,61,4
LOC102723570,0,0,3,0,1,0
LOC102723571,13,6,26,5,15,11
LOC102723572,2,0,0,1,3,0
LOC102723575,4,12,2,3,7,3
LOC102723576,0,0,0,0,0,0
LOC102723577,0,0,0,0,0,0
LOC102723578,0,0,0,0,0,0
LOC102723579,0,0,1,0,0,0
LOC102723580,102,35,158,19,58,41
LOC102723581,1,1,0,2,2,1
LOC102723582,30,27,33,37,18,22
LOC102723583,0,0,0,0,0,0
LOC102723584,0,0,0,0,0,0
LOC102723587,0,1,0,2,8,3
LOC102723588,0,0,0,0,0,0
LOC102723589,49,10,100,30,42,20
LOC102723590,0,0,0,0,0,0
LOC102723591,3,1,6,0,5,3
LOC102723593,0,0,0,0,0,0
LOC102723594,0,0,0,0,0,0
LOC102723595,0,0,0,0,0,0
LOC102723596,3,4,10,33,0,1
LOC102723597,14,10,8,14,20,14
LOC102723599,0,0,0,0,0,0
LOC102723600,22,29,11,28,19,11
LOC102723602,96,89,79,40,70,127
LOC102723603,0,0,0,0,0,0
LOC102723604,0,0,0,0,1,0
LOC102723605,0,0,0,0,0,0
LOC102723606,4,1,2,2,0,0
LOC102723607,0,0,0,0,0,0
LOC102723608,0,0,0,0,0,0
LOC102723609,0,0,0,0,0,0
LOC102723610,18,37,16,29,14,34
LOC102723611,0,0,0,0,0,0
LOC102723612,0,0,0,0,0,0
LOC102723614,0,1,2,0,1,3
LOC102723615,0,0,0,0,0,0
LOC102723616,67,39,79,47,51,42
LOC102723617,0,0,0,0,0,0
LOC102723619,5,3,4,6,1,4
LOC102723620,0,0,2,0,1,1
LOC102723621,1,0,2,1,4,3
LOC102723622,0,0,0,0,0,0
LOC102723623,0,0,0,0,0,0
LOC102723624,0,1,0,1,0,0
LOC102723625,35,9,23,16,52,6
LOC102723627,0,2,3,1,5,2
LOC102723628,0,0,0,4,0,0
LOC102723629,0,0,0,0,0,0
LOC102723630,11,3,0,0,8,2
LOC102723631,0,0,0,0,0,0
LOC102723633,0,0,0,0,1,0
LOC102723635,0,0,0,0,0,0
LOC102723636,0,0,0,0,0,0
LOC102723637,0,0,0,0,0,0
LOC102723638,0,0,0,0,0,0
LOC102723639,0,0,0,0,0,0
LOC102723640,4,1,0,0,0,2
LOC102723641,0,0,0,0,0,0
LOC102723642,0,50,0,99,0,46
LOC102723643,20,14,31,11,18,13
LOC102723644,0,0,0,0,0,0
LOC102723645,0,0,0,0,0,0
LOC102723646,0,0,0,0,0,0
LOC102723647,3,2,5,0,7,3
LOC102723648,3,3,5,3,11,0
LOC102723649,0,0,0,1,0,1
LOC102723650,0,1,0,0,0,0
LOC102723651,10,2,15,4,7,8
LOC102723652,11,16,9,10,13,8
LOC102723653,0,0,0,0,0,0
LOC102723654,0,0,0,2,1,0
LOC102723655,0,0,0,0,0,0
LOC102723656,0,3,0,0,0,0
LOC102723657,0,0,0,0,0,0
LOC102723658,0,0,0,0,0,0
LOC102723659,0,0,1,0,0,0
LOC102723661,0,0,0,0,0,0
LOC102723662,0,0,0,0,1,0
LOC102723663,319,306,273,131,302,248
LOC102723664,0,0,0,0,0,0
LOC102723665,16,19,26,20,20,14
LOC102723666,5,5,8,3,4,4
LOC102723667,0,0,0,0,0,0
LOC102723669,0,1,0,0,1,0
LOC102723670,1,2,3,5,1,1
LOC102723671,8,10,14,10,14,18
LOC102723672,444,187,1557,311,543,281
LOC102723673,0,0,0,1,0,0
LOC102723674,0,0,0,0,0,0
LOC102723675,8,0,4,0,8,1
LOC102723676,0,0,0,0,0,0
LOC102723677,0,0,0,0,0,0
LOC102723678,0,1,0,0,0,0
LOC102723679,21,22,25,12,24,21
LOC102723680,0,0,0,0,0,0
LOC102723682,7,4,13,8,8,12
LOC102723683,7,6,2,8,13,9
LOC102723684,0,0,0,0,0,0
LOC102723685,2,4,1,7,1,6
LOC102723686,0,0,0,0,0,0
LOC102723687,0,0,1,2,0,0
LOC102723690,3,1,2,2,1,1
LOC102723691,0,0,0,0,0,0
LOC102723692,0,0,0,1,0,3
LOC102723693,16,5,10,8,4,4
LOC102723694,2,0,3,4,5,2
LOC102723695,2,2,1,1,0,3
LOC102723696,1,0,1,1,1,2
LOC102723697,45,52,21,26,105,109
LOC102723698,0,0,0,0,0,0
LOC102723699,0,0,0,0,1,0
LOC102723700,0,1,2,2,0,1
LOC102723701,38,17,18,9,53,19
LOC102723702,0,0,0,0,0,0
LOC102723703,13,24,31,14,21,8
LOC102723704,5,3,3,5,3,3
LOC102723705,0,0,0,0,0,0
LOC102723706,0,0,0,0,2,0
LOC102723708,13,4,5,4,11,2
LOC102723709,0,0,0,0,0,0
LOC102723710,0,0,0,0,0,0
LOC102723712,0,0,0,0,0,0
LOC102723713,0,1,0,0,0,0
LOC102723714,8,6,6,12,3,7
LOC102723715,0,0,0,0,0,0
LOC102723716,6,1,25,1,1,3
LOC102723717,0,0,0,0,0,0
LOC102723718,1,2,1,3,3,0
LOC102723719,0,0,0,0,0,0
LOC102723720,0,0,0,0,0,0
LOC102723721,1,0,1,0,0,0
LOC102723722,17,11,9,11,18,21
LOC102723723,0,0,0,0,0,0
LOC102723724,82,56,24,10,77,35
LOC102723725,47,4,30,2,34,1
LOC102723726,729,1661,424,1899,826,770
LOC102723727,0,0,0,0,0,0
LOC102723728,5,3,6,4,3,7
LOC102723729,1,2,2,3,2,1
LOC102723730,0,0,0,0,0,0
LOC102723731,0,0,0,0,0,0
LOC102723732,0,0,0,0,0,0
LOC102723733,3,2,10,26,1,13
LOC102723734,0,0,0,0,0,0
LOC102723735,0,0,7,3,0,2
LOC102723736,0,0,0,0,1,1
LOC102723737,0,0,0,0,0,0
LOC102723738,6,1,3,4,0,1
LOC102723739,12,7,12,3,6,6
LOC102723740,0,0,0,0,0,0
LOC102723741,10,15,42,21,27,14
LOC102723742,5,0,1,1,4,1
LOC102723743,12,9,10,4,16,15
LOC102723744,4,4,4,1,7,2
LOC102723745,0,0,0,0,0,0
LOC102723746,12,0,9,4,12,3
LOC102723749,0,0,0,0,0,0
LOC102723750,6,4,3,2,10,9
LOC102723751,17,20,20,16,18,19
LOC102723752,0,0,0,0,0,0
LOC102723754,0,0,0,0,0,0
LOC102723755,98,37,61,26,126,43
LOC102723756,0,0,0,0,0,0
LOC102723757,0,0,0,0,0,0
LOC102723758,2,1,0,0,0,0
LOC102723759,0,0,0,0,0,0
LOC102723760,0,0,0,0,0,0
LOC102723761,10,36,21,43,15,28
LOC102723762,3,1,2,1,2,1
LOC102723763,0,0,0,0,0,0
LOC102723764,0,0,0,0,0,0
LOC102723765,182,22,8,2,89,3
LOC102723766,1,4,2,36,1,4
LOC102723767,0,0,0,0,1,0
LOC102723768,0,0,0,0,0,0
LOC102723769,0,0,0,1,0,0
LOC102723770,0,7,1,3,1,4
LOC102723771,0,0,1,0,0,0
LOC102723772,12,15,8,12,31,19
LOC102723773,591,376,279,162,540,437
LOC102723774,0,0,0,0,0,0
LOC102723775,22,2,3,2,8,4
LOC102723777,3,6,10,19,2,0
LOC102723778,0,0,0,0,0,0
LOC102723779,79,175,87,387,47,99
LOC102723780,0,0,2,0,0,2
LOC102723781,0,1,3,1,3,2
LOC102723782,2,1,3,0,1,2
LOC102723783,0,0,0,0,0,0
LOC102723784,0,0,0,0,0,0
LOC102723785,3,0,0,1,2,0
LOC102723786,0,0,0,0,0,0
LOC102723787,0,0,0,2,1,0
LOC102723788,0,0,0,0,0,0
LOC102723789,0,0,0,0,0,0
LOC102723790,0,0,0,0,0,0
LOC102723791,1,0,0,1,0,0
LOC102723793,0,0,0,0,0,0
LOC102723794,12,14,7,13,15,12
LOC102723795,0,2,0,0,1,0
LOC102723796,0,0,0,0,0,0
LOC102723797,51,35,35,25,75,63
LOC102723798,26,37,9,13,15,36
LOC102723799,0,0,0,0,0,0
LOC102723800,0,0,0,0,0,0
LOC102723801,4,1,9,6,6,3
LOC102723802,7,3,3,2,1,3
LOC102723803,0,0,0,0,0,0
LOC102723804,16,32,16,20,15,38
LOC102723805,0,0,0,0,0,0
LOC102723806,26,8,21,13,35,8
LOC102723807,0,0,0,0,0,0
LOC102723808,2,2,97,27,6,10
LOC102723809,22,18,16,28,33,43
LOC102723810,0,0,0,1,0,0
LOC102723811,16,12,11,12,27,23
LOC102723812,3,0,0,0,2,1
LOC102723813,2,1,1,2,1,1
LOC102723814,5,5,4,8,1,2
LOC102723816,1,2,1,0,1,1
LOC102723817,236,41,178,81,106,52
LOC102723818,0,0,0,0,0,0
LOC102723819,0,0,0,0,0,0
LOC102723820,41,47,32,44,53,51
LOC102723821,0,0,0,0,0,0
LOC102723822,0,0,0,1,0,1
LOC102723823,2,0,0,0,5,0
LOC102723824,22,324,46,246,36,330
LOC102723825,0,0,0,0,0,1
LOC102723826,0,0,0,0,1,0
LOC102723827,3,0,3,4,7,5
LOC102723828,5,2,4,0,0,0
LOC102723829,2,0,1,1,4,1
LOC102723830,0,2,3,0,0,3
LOC102723831,0,0,0,0,0,0
LOC102723832,0,0,0,0,0,0
LOC102723833,0,0,0,0,0,0
LOC102723834,0,0,0,0,0,0
LOC102723835,0,0,0,0,0,0
LOC102723836,0,0,0,0,0,0
LOC102723837,1,1,0,0,3,3
LOC102723838,0,0,0,0,0,0
LOC102723839,0,0,0,0,0,0
LOC102723840,2,0,0,0,3,0
LOC102723841,0,0,0,0,0,0
LOC102723842,0,0,0,0,0,0
LOC102723843,7,13,4,2,8,11
LOC102723844,5,1,2,3,5,2
LOC102723845,71,35,66,15,53,35
LOC102723846,1,2,1,1,0,0
LOC102723847,0,0,0,0,0,0
LOC102723848,0,0,0,0,0,0
LOC102723849,0,0,0,0,0,2
LOC102723850,1,0,0,0,0,0
LOC102723851,0,2,5,1,0,3
LOC102723853,8,0,4,1,3,1
LOC102723854,0,1,0,0,0,0
LOC102723855,0,0,0,0,0,0
LOC102723856,0,0,0,0,0,0
LOC102723857,0,0,0,0,0,0
LOC102723858,0,0,0,0,0,0
LOC102723859,0,0,0,0,0,0
LOC102723860,0,0,0,0,0,0
LOC102723861,1,0,1,2,0,0
LOC102723862,0,0,0,0,0,1
LOC102723863,54,61,45,70,53,50
LOC102723864,14,5,8,3,15,5
LOC102723865,0,0,0,0,0,0
LOC102723866,5,9,12,4,3,2
LOC102723867,12,11,13,15,4,6
LOC102723868,0,0,0,0,0,0
LOC102723869,0,0,0,0,0,0
LOC102723870,11,14,14,9,11,8
LOC102723871,0,0,1,0,0,1
LOC102723872,138,26,242,33,89,20
LOC102723873,0,0,0,1,0,0
LOC102723874,7,5,2,10,13,6
LOC102723875,0,0,0,0,0,0
LOC102723876,0,0,0,0,0,0
LOC102723877,3,1,5,12,13,30
LOC102723878,0,0,3,7,2,2
LOC102723879,0,0,0,0,0,0
LOC102723880,1,0,1,0,0,0
LOC102723881,0,0,0,0,0,0
LOC102723882,0,0,0,0,0,0
LOC102723883,0,0,0,0,0,0
LOC102723884,11,12,10,9,16,9
LOC102723885,4,11,0,1,1,5
LOC102723886,3,67,8,158,1,25
LOC102723887,0,0,0,0,0,0
LOC102723888,0,0,0,0,0,0
LOC102723889,0,0,0,0,0,0
LOC102723890,0,0,0,0,0,0
LOC102723891,2,2,2,0,6,6
LOC102723892,1,0,0,0,2,1
LOC102723893,0,0,0,0,0,0
LOC102723894,0,0,0,0,0,0
LOC102723895,0,0,0,0,0,0
LOC102723896,0,0,0,0,0,0
LOC102723897,277,276,181,225,107,122
LOC102723898,8,5,1,6,2,3
LOC102723899,3,3,2,2,5,2
LOC102723900,0,0,0,0,0,0
LOC102723901,0,0,0,0,0,0
LOC102723902,1,0,0,0,0,0
LOC102723903,0,0,0,0,0,0
LOC102723904,0,0,0,0,0,0
LOC102723905,0,0,0,0,0,0
LOC102723906,0,0,0,0,0,0
LOC102723907,3,0,1,1,1,0
LOC102723908,21,11,14,7,39,29
LOC102723909,0,0,0,0,0,0
LOC102723910,0,0,0,0,0,0
LOC102723911,0,0,1,0,0,0
LOC102723912,0,0,0,0,0,0
LOC102723913,3,0,0,0,1,6
LOC102723914,0,0,0,0,0,1
LOC102723915,4,5,3,5,4,6
LOC102723916,2,1,9,2,6,3
LOC102723917,0,0,5,0,0,0
LOC102723918,0,0,1,0,0,0
LOC102723919,106,47,90,54,116,66
LOC102723920,0,0,0,0,0,0
LOC102723921,0,0,1,0,0,0
LOC102723922,0,19,1,37,8,16
LOC102723923,1,0,2,1,5,2
LOC102723924,0,0,0,0,0,0
LOC102723925,0,0,0,1,0,1
LOC102723926,74,52,51,37,45,58
LOC102723927,8,5,4,4,7,6
LOC102723928,3,4,5,0,4,6
LOC102723929,9,6,4,3,3,7
LOC102723931,0,5,0,1,0,4
LOC102723932,2,0,0,0,1,0
LOC102723933,0,0,0,0,0,0
LOC102723934,0,0,0,0,0,0
LOC102723935,0,0,0,0,0,0
LOC102723936,1,0,0,1,0,3
LOC102723937,0,0,0,0,0,0
LOC102723938,0,0,0,0,0,0
LOC102723939,0,0,0,0,0,0
LOC102723940,0,0,2,0,1,0
LOC102723941,0,0,0,0,0,0
LOC102723942,0,0,0,0,0,2
LOC102723943,0,0,0,0,0,0
LOC102723944,0,0,0,0,0,0
LOC102723946,4,1,6,7,1,11
LOC102723947,0,0,0,0,0,0
LOC102723948,0,0,0,0,0,0
LOC102723949,0,1,0,3,0,0
LOC102723950,0,0,0,0,0,0
LOC102723951,0,0,0,0,0,0
LOC102723952,0,0,0,0,0,0
LOC102723953,5,7,5,2,7,2
LOC102723954,100,105,175,137,121,111
LOC102723955,2,1,0,0,2,1
LOC102723956,0,0,0,0,0,1
LOC102723957,0,0,0,0,0,0
LOC102723958,12,10,6,5,1,2
LOC102723959,14,248,3,444,35,169
LOC102723960,0,1,1,0,2,3
LOC102723961,0,0,0,0,0,0
LOC102723962,30,34,30,43,35,30
LOC102723963,7,1,4,0,4,2
LOC102723965,6,4,13,16,8,13
LOC102723966,0,0,0,0,1,0
LOC102723967,0,0,1,0,0,0
LOC102723968,1,0,0,0,0,0
LOC102723969,4,0,3,5,7,4
LOC102723970,2,0,2,0,0,0
LOC102723971,0,0,0,0,0,0
LOC102723972,1,0,3,1,0,1
LOC102723973,0,0,0,0,3,0
LOC102723974,12,15,22,7,15,13
LOC102723975,21,38,23,9,45,92
LOC102723976,0,0,0,0,0,0
LOC102723977,0,0,1,0,0,1
LOC102723978,0,0,0,0,0,0
LOC102723979,0,0,0,0,0,0
LOC102723980,52,36,37,32,63,57
LOC102723981,2,0,0,0,0,0
LOC102723983,3,2,1,1,0,5
LOC102723984,0,1,0,0,0,2
LOC102723985,0,0,0,0,0,0
LOC102723986,0,0,1,0,1,4
LOC102723987,0,0,0,0,0,0
LOC102723988,8,6,9,5,6,7
LOC102723989,11,0,24,4,17,7
LOC102723990,80,51,95,30,99,85
LOC102723992,34,32,32,26,42,47
LOC102723993,17,9,11,20,11,9
LOC102723994,0,0,0,0,0,0
LOC102723995,0,0,0,0,0,0
LOC102723996,91,608,239,402,222,789
LOC102723997,7,11,19,22,6,13
LOC102723998,5,16,20,82,6,9
LOC102724000,0,0,0,0,0,0
LOC102724001,0,0,0,0,1,0
LOC102724002,466,340,497,299,456,388
LOC102724003,23,3,22,0,17,2
LOC102724004,0,0,0,0,0,0
LOC102724005,11,0,3,3,8,7
LOC102724006,180,141,169,91,167,156
LOC102724007,0,0,1,0,0,0
LOC102724008,1,5,0,10,1,2
LOC102724009,21,12,13,19,25,14
LOC102724010,0,0,0,0,0,0
LOC102724011,0,0,1,0,0,0
LOC102724012,7,1,5,1,5,5
LOC102724013,0,0,0,0,0,0
LOC102724014,0,0,0,0,0,0
LOC102724015,1,1,0,9,0,4
LOC102724016,2,1,0,0,3,2
LOC102724017,201,70,135,64,215,93
LOC102724018,0,2,0,0,0,0
LOC102724019,0,0,0,0,0,0
LOC102724020,0,0,0,0,0,0
LOC102724021,0,0,1,0,0,0
LOC102724022,0,0,0,0,0,0
LOC102724023,543,337,600,305,503,359
LOC102724024,8,37,8,129,15,86
LOC102724026,4,1,11,6,12,2
LOC102724027,0,0,0,0,0,0
LOC102724028,0,0,0,1,0,1
LOC102724029,0,0,0,0,0,0
LOC102724030,1,5,1,2,3,2
LOC102724031,4,0,3,1,1,0
LOC102724032,0,0,0,0,0,0
LOC102724033,0,0,0,0,0,0
LOC102724034,0,0,0,0,0,0
LOC102724036,0,0,0,0,0,0
LOC102724037,78,47,68,34,72,66
LOC102724038,0,0,0,0,0,0
LOC102724039,0,0,0,0,0,0
LOC102724040,11,9,12,6,6,12
LOC102724041,0,0,0,0,0,0
LOC102724043,1,0,4,1,0,1
LOC102724044,0,2,0,0,1,2
LOC102724045,2,1,0,0,1,1
LOC102724046,1,0,0,0,1,0
LOC102724047,3,2,1,0,0,0
LOC102724048,0,0,0,0,0,0
LOC102724049,0,0,2,0,3,0
LOC102724050,11,4,79,3,2,5
LOC102724051,0,0,0,0,0,0
LOC102724052,0,0,0,0,0,0
LOC102724053,0,0,0,0,0,0
LOC102724054,0,0,0,0,0,0
LOC102724055,0,0,0,0,0,0
LOC102724056,3,0,0,0,1,1
LOC102724057,30,8,17,15,44,12
LOC102724058,0,0,0,0,0,0
LOC102724059,9,5,15,10,14,5
LOC102724060,277,377,272,387,206,328
LOC102724061,0,0,0,0,0,0
LOC102724062,0,0,0,0,0,0
LOC102724063,0,0,0,0,0,0
LOC102724064,10,3,7,3,5,7
LOC102724065,1,0,0,0,0,2
LOC102724067,0,0,0,0,0,0
LOC102724068,0,0,0,0,0,1
LOC102724069,0,0,0,1,0,1
LOC102724071,0,0,0,0,0,0
LOC102724072,0,0,0,0,0,0
LOC102724073,0,0,0,0,0,0
LOC102724074,0,0,0,0,0,0
LOC102724075,7,5,5,8,8,6
LOC102724076,0,0,0,0,0,0
LOC102724077,4,7,5,5,10,2
LOC102724078,0,0,0,0,0,0
LOC102724079,0,0,0,0,0,0
LOC102724080,0,0,0,0,0,0
LOC102724081,4,1,2,7,0,0
LOC102724082,0,0,0,0,0,0
LOC102724084,1,0,1,0,0,0
LOC102724085,0,0,0,0,0,0
LOC102724086,0,0,0,0,0,0
LOC102724087,0,0,0,0,0,1
LOC102724088,0,0,0,0,0,0
LOC102724089,0,0,1,0,0,0
LOC102724090,0,0,0,0,0,0
LOC102724091,0,0,0,0,0,0
LOC102724092,1,0,0,0,1,0
LOC102724093,4,3,1,0,5,3
LOC102724094,2,0,1,2,3,11
LOC102724095,0,0,0,0,0,0
LOC102724096,0,0,0,0,0,0
LOC102724097,0,0,0,0,0,1
LOC102724098,3,0,10,0,8,1
LOC102724099,0,0,0,0,0,0
LOC102724100,0,0,1,0,0,1
LOC102724101,0,0,0,0,0,0
LOC102724102,0,0,0,0,0,0
LOC102724103,39,43,31,25,65,61
LOC102724104,0,0,1,0,0,0
LOC102724105,4,14,26,19,26,19
LOC102724106,0,0,0,0,0,0
LOC102724107,0,0,0,0,0,0
LOC102724108,3,3,3,3,2,1
LOC102724109,0,0,0,0,0,0
LOC102724111,4,0,3,0,4,0
LOC102724112,67,41,95,39,112,52
LOC102724113,0,0,1,0,0,0
LOC102724114,0,0,0,0,0,0
LOC102724115,0,0,0,0,0,0
LOC102724117,0,0,2,1,6,0
LOC102724118,0,1,2,3,1,4
LOC102724119,0,0,0,0,0,0
LOC102724120,0,1,3,1,0,2
LOC102724121,1,0,0,0,0,0
LOC102724122,1,0,1,0,0,0
LOC102724123,0,0,0,0,0,0
LOC102724124,29,9,7,5,17,9
LOC102724125,0,0,0,0,0,0
LOC102724126,65,42,67,58,54,43
LOC102724127,0,0,0,0,0,0
LOC102724128,0,0,0,0,0,0
LOC102724129,0,4,0,19,2,1
LOC102724130,0,0,0,0,0,0
LOC102724131,10,5,14,6,12,11
LOC102724132,2,3,0,1,2,3
LOC102724133,2,0,7,3,5,3
LOC102724134,0,0,0,0,0,0
LOC102724135,2,0,4,5,0,0
LOC102724136,1,0,1,2,0,0
LOC102724137,0,0,0,0,0,0
LOC102724138,0,0,0,0,0,0
LOC102724139,0,0,0,0,0,0
LOC102724140,0,0,0,0,1,0
LOC102724141,7,127,4,167,4,113
LOC102724142,0,0,0,0,0,0
LOC102724143,0,0,0,0,0,0
LOC102724144,28,39,35,22,31,12
LOC102724145,0,0,0,0,0,0
LOC102724146,0,0,0,1,0,0
LOC102724147,0,0,0,3,3,0
LOC102724148,0,0,0,0,0,0
LOC102724149,7,0,2,0,2,0
LOC102724150,0,0,0,0,0,0
LOC102724151,0,0,0,0,0,0
LOC102724152,0,0,0,0,0,0
LOC102724153,0,4,2,7,0,9
LOC102724154,0,0,0,0,0,0
LOC102724155,7,8,9,8,8,21
LOC102724156,0,0,0,0,0,0
LOC102724157,1,9,3,9,0,8
LOC102724158,0,0,0,0,0,0
